Sr. No.,Round No,Period,City Name,PIN Code,Gender Of Respondent,Age Group,Category of Respondent,Expectations on prices in next 3 months - General,Expectations on prices in next 3 months - Food products,Expectations on prices in next 3 months - Non food products,Expectations on prices in next 3 months - Household durables,Expectations on prices in next 3 months - Housing,Expectations on prices in next 3 months - Services,Expectations on prices in next 1 year - General,Expectations on prices in next 1 year - Food products,Expectations on prices in next 1 year - Non food products,Expectations on prices in next 1 year - Household durables,Expectations on prices in next 1 year - Housing,Expectations on prices in next 1 year - Services,View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 3 Months ahead Inflation Rate,View on 3 Months ahead Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,City_Tier
27,62,Jan-2021,Ahmedabad,380001.0,Female,50 to 55 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,No change in prices,Price increase similar to current rate,Price increase more than current rate,15-16,,>=16,20.0,>=16,25.0,Tier 1
28,62,Jan-2021,Ahmedabad,380001.0,Male,40 to 45 years,Other employees,No change in prices,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,Price increase more than current rate,Price increase similar to current rate,No change in prices,3-4,,3-4,,<1,,Tier 1
29,62,Jan-2021,Ahmedabad,380001.0,Female,55 to 60 years,HOMEMAKER,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,>=16,20.0,>=16,30.0,>=16,25.0,Tier 1
30,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Retired persons,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Decline in price,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase similar to current rate,Decline in price,No change in prices,15-16,,>=16,20.0,>=16,20.0,Tier 1
31,62,Jan-2021,Ahmedabad,380001.0,Male,40 to 45 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,15-16,,>=16,19.0,>=16,19.0,Tier 1
32,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Retired persons,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase less than current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,Price increase less than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,15-16,,>=16,20.0,>=16,20.0,Tier 1
33,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Other category,Price increase more than current rate,Price increase similar to current rate,Price increase less than current rate,Price increase less than current rate,Decline in price,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase similar to current rate,>=16,40.0,>=16,50.0,>=16,50.0,Tier 1
34,62,Jan-2021,Ahmedabad,380001.0,Female,50 to 55 years,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase similar to current rate,5-6,,6-7,,15-16,,Tier 1
35,62,Jan-2021,Ahmedabad,380001.0,Female,60 years and above,HOMEMAKER,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase similar to current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase less than current rate,>=16,40.0,>=16,60.0,>=16,60.0,Tier 1
36,62,Jan-2021,Ahmedabad,380001.0,Male,55 to 60 years,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,No change in prices,Price increase more than current rate,Price increase similar to current rate,No change in prices,>=16,50.0,>=16,55.0,<1,,Tier 1
37,62,Jan-2021,Ahmedabad,380001.0,Female,Up to 25 years,Other category,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase less than current rate,No change in prices,Price increase similar to current rate,No change in prices,Price increase similar to current rate,No change in prices,Price increase more than current rate,No change in prices,No change in prices,10-11,,12-13,,<1,,Tier 1
38,62,Jan-2021,Ahmedabad,380001.0,Male,40 to 45 years,Daily workers,Price increase more than current rate,Decline in price,Price increase more than current rate,Price increase similar to current rate,Decline in price,Price increase similar to current rate,Price increase more than current rate,Decline in price,Price increase similar to current rate,No change in prices,Decline in price,No change in prices,>=16,50.0,>=16,55.0,>=16,60.0,Tier 1
39,62,Jan-2021,Ahmedabad,380001.0,Male,30 to 35 years,Daily workers,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase less than current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase similar to current rate,No change in prices,No change in prices,Price increase less than current rate,No change in prices,>=16,40.0,>=16,45.0,>=16,45.0,Tier 1
40,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,No change in prices,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase similar to current rate,Price increase similar to current rate,5-6,,7-8,,8-9,,Tier 1
41,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Daily workers,No change in prices,Price increase similar to current rate,Price increase similar to current rate,Decline in price,No change in prices,Price increase similar to current rate,Price increase more than current rate,Price increase similar to current rate,Price increase less than current rate,Price increase less than current rate,Decline in price,No change in prices,1-2,,1-2,,2-3,,Tier 1
42,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Retired persons,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,>=16,70.0,>=16,75.0,>=16,75.0,Tier 1
43,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Retired persons,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,5-6,,7-8,,8-9,,Tier 1
44,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Retired persons,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,>=16,20.0,>=16,30.0,>=16,30.0,Tier 1
45,62,Jan-2021,Ahmedabad,380001.0,Female,60 years and above,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,No change in prices,Price increase similar to current rate,Price increase more than current rate,10-11,,15-16,,15-16,,Tier 1
46,62,Jan-2021,Ahmedabad,380001.0,Male,50 to 55 years,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase less than current rate,Price increase less than current rate,>=16,25.0,>=16,30.0,>=16,50.0,Tier 1
47,62,Jan-2021,Ahmedabad,380001.0,Male,50 to 55 years,Other category,Price increase more than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,>=16,50.0,>=16,52.0,>=16,60.0,Tier 1
48,62,Jan-2021,Ahmedabad,380001.0,Female,45 to 50 years,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,10-11,,15-16,,15-16,,Tier 1
49,62,Jan-2021,Ahmedabad,380001.0,Female,45 to 50 years,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,>=16,50.0,>=16,80.0,>=16,70.0,Tier 1
50,62,Jan-2021,Ahmedabad,380001.0,Male,50 to 55 years,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,Price increase similar to current rate,Price increase more than current rate,>=16,25.0,>=16,30.0,>=16,30.0,Tier 1
51,62,Jan-2021,Ahmedabad,380001.0,Male,50 to 55 years,Daily workers,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,No change in prices,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,No change in prices,Price increase more than current rate,Price increase more than current rate,>=16,30.0,>=16,40.0,>=16,35.0,Tier 1
52,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Retired persons,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,No change in prices,Price increase more than current rate,3-4,,4-5,,4-5,,Tier 1
53,62,Jan-2021,Ahmedabad,380001.0,Male,30 to 35 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,4-5,,6-7,,8-9,,Tier 1
54,62,Jan-2021,Ahmedabad,380001.0,Female,50 to 55 years,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase similar to current rate,Decline in price,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,>=16,20.0,>=16,22.0,>=16,25.0,Tier 1
55,62,Jan-2021,Ahmedabad,380001.0,Female,35 to 40 years,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,Price increase more than current rate,No change in prices,>=16,50.0,>=16,55.0,>=16,55.0,Tier 1
56,62,Jan-2021,Ahmedabad,380001.0,Female,30 to 35 years,HOMEMAKER,Decline in price,Decline in price,No change in prices,Price increase more than current rate,Decline in price,No change in prices,No change in prices,Decline in price,No change in prices,No change in prices,No change in prices,Decline in price,5-6,,5-6,,<1,,Tier 1
57,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,Price increase more than current rate,Price increase more than current rate,>=16,50.0,>=16,53.0,>=16,55.0,Tier 1
58,62,Jan-2021,Ahmedabad,380001.0,Female,25 to 30 years,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase similar to current rate,Price increase less than current rate,No change in prices,Price increase more than current rate,Price increase less than current rate,>=16,40.0,>=16,50.0,>=16,42.0,Tier 1
59,62,Jan-2021,Ahmedabad,380001.0,Male,60 years and above,Other employees,Decline in price,Price increase less than current rate,Decline in price,Decline in price,Decline in price,Decline in price,Decline in price,Decline in price,Decline in price,Decline in price,Price increase less than current rate,Decline in price,10-11,,10-11,,<1,,Tier 1
60,62,Jan-2021,Ahmedabad,380001.0,Female,35 to 40 years,Daily workers,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Decline in price,Decline in price,>=16,30.0,>=16,32.0,>=16,33.0,Tier 1
61,62,Jan-2021,Ahmedabad,380001.0,Female,50 to 55 years,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,>=16,50.0,>=16,70.0,>=16,70.0,Tier 1
62,62,Jan-2021,Ahmedabad,380001.0,Female,45 to 50 years,Daily workers,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,5-6,,7-8,,<1,,Tier 1
63,62,Jan-2021,Ahmedabad,380004.0,Female,25 to 30 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase similar to current rate,Price increase more than current rate,5-6,,7-8,,7-8,,Tier 1
64,62,Jan-2021,Ahmedabad,380004.0,Male,25 to 30 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,10-11,,12-13,,12-13,,Tier 1
65,62,Jan-2021,Ahmedabad,380004.0,Male,50 to 55 years,Self-Employed,Price increase similar to current rate,Price increase similar to current rate,Price increase less than current rate,No change in prices,No change in prices,Price increase similar to current rate,Price increase similar to current rate,Price increase more than current rate,Price increase similar to current rate,Price increase less than current rate,No change in prices,Price increase similar to current rate,6-7,,6-7,,5-6,,Tier 1
66,62,Jan-2021,Ahmedabad,380004.0,Female,40 to 45 years,HOMEMAKER,Price increase similar to current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,10-11,,10-11,,12-13,,Tier 1
67,62,Jan-2021,Ahmedabad,380004.0,Female,Up to 25 years,HOMEMAKER,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase more than current rate,Decline in price,Price increase more than current rate,Price increase similar to current rate,4-5,,4-5,,4-5,,Tier 1
68,62,Jan-2021,Ahmedabad,380004.0,Female,Up to 25 years,HOMEMAKER,Price increase similar to current rate,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase similar to current rate,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,>=16,20.0,>=16,20.0,>=16,20.0,Tier 1
69,62,Jan-2021,Ahmedabad,380004.0,Female,Up to 25 years,HOMEMAKER,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,10-11,,12-13,,12-13,,Tier 1
70,62,Jan-2021,Ahmedabad,380004.0,Female,35 to 40 years,Financial sector employees,Decline in price,Decline in price,Price increase more than current rate,Decline in price,No change in prices,Decline in price,Decline in price,Price increase more than current rate,Decline in price,Decline in price,Decline in price,Decline in price,10-11,,7-8,,<1,,Tier 1
71,62,Jan-2021,Ahmedabad,380004.0,Male,Up to 25 years,Financial sector employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase more than current rate,Price increase less than current rate,4-5,,6-7,,5-6,,Tier 1
72,62,Jan-2021,Ahmedabad,380004.0,Male,60 years and above,Self-Employed,Price increase similar to current rate,Price increase more than current rate,Price increase less than current rate,No change in prices,Decline in price,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase similar to current rate,No change in prices,Decline in price,Price increase similar to current rate,15-16,,15-16,,14-15,,Tier 1
73,62,Jan-2021,Ahmedabad,380004.0,Female,25 to 30 years,Other employees,Price increase more than current rate,Price increase less than current rate,No change in prices,Price increase more than current rate,Price increase less than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase less than current rate,No change in prices,Price increase less than current rate,Price increase similar to current rate,Price increase more than current rate,8-9,,10-11,,10-11,,Tier 1
74,62,Jan-2021,Ahmedabad,380004.0,Male,50 to 55 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,4-5,,5-6,,4-5,,Tier 1
